G10535(n+1)	G10535(n+1)
h2o	C00001
fru	C00095
G10535(n)	G10535(n)
G10545(n+m)	G10545(n+m)
h2o	C00001
G10545(n)	G10545(n)
G10545(m)	G10545(m)
C08725	C08725
C00223	C00223
C16349	C16349
coa	C00010
G10481(n+2)	G10481(n+2)
h2o	C00001
G10481(n)	G10481(n)
G00289	G00289
G10506(n+1)	G10506(n+1)
h2o	C00001
C00333	C00333
G10506(n)	G10506(n)
G10534(n+1)	G10534(n+1)
h2o	C00001
C00124	C00124
G10534(n)	G10534(n)
C00181	C00181
G10512(n)	G10512(n)
G10512(n+1)	G10512(n+1)
h2o	C00001
G10477(n+1)	G10477(n+1)
h2o	C00001
glc-D	C00031
G10477(n)	G10477(n)
G10584(n+1)	G10584(n+1)
h2o	C00001
G10584(n)	G10584(n)
C11476	C11476
h2o	C00001
G10499(n+m)	G10499(n+m)
G10499(n)	G10499(n)
G10499(m)	G10499(m)
G10532(n+1)	G10532(n+1)
h2o	C00001
C00159	C00159
G10532(n)	G10532(n)
C20657	C20657
nad	C00003
C01769	C01769
nadh	C00004
h	C00080
C08639	C08639
C00223	C00223
C16350	C16350
coa	C00010
C12643	C12643
malcoa	C00083
C16289	C16289
coa	C00010
C12642	C12642
malcoa	C00083
C16288	C16288
coa	C00010
udpg	C00029
C02627	C02627
udp	C00015
C20353	C20353
atp	C00002
C04780	C04780
coa	C00010
amp	C00020
ppi	C00013
C16327	C16327
C16301	C16301
malcoa	C00083
C16290	C16290
coa	C00010
C20657	C20657
nad	C00003
C00810	C00810
nadh	C00004
h	C00080
C16718	C16718
udpg	C00029
C06740	C06740
udp	C00015
C04625	C04625
C04706	C04706
C01327	C01327
C17959	C17959
C00096	C00096
C04724	C04724
gdp	C00035
grdp	C00341
h2o	C00001
C09902	C09902
ppi	C00013
C20350	C20350
akg	C00026
C20351	C20351
glu-L	C00025
grdp	C00341
C09900	C09900
ppi	C00013
pro-L	C00148
fad	C00016
1pyr5c	C03912
fadh2	C01352
amet	C00019
C10192	C10192
ahcys	C00021
C19807	C19807
grdp	C00341
h2o	C00001
C09844	C09844
ppi	C00013
C05138	C05138
C01227	C01227
acald	C00084
grdp	C00341
C20242	C20242
ppi	C00013
uacgam	C00043
C00110	C00110
ump	C00105
C04500	C04500
C01246	C01246
h2o	C00001
C00110	C00110
glc-D	C00031
udpg	C00029
C00110	C00110
udp	C00015
C01246	C01246
